OrderID,OrderDate,CustomerID,OrderTotal,,,,,,
1,1/1/2022,5," $5,725,000.00 ",,,,,,
2,1/2/2022,5," $490,000.00 ",,,,,,
3,1/4/2022,2," $2,050,000.00 ",,,,,,
4,1/6/2022,1," $820,000.00 ",,,,,,
5,1/9/2022,4," $165,000.00 ",,,,,,
6,1/9/2022,4," $5,350,000.00 ",,,,,,
7,1/9/2022,4," $7,350,000.00 ",,,,,,
8,1/11/2022,5," $6,510,000.00 ",,,,,,
9,1/13/2022,2," $6,510,000.00 ",,,,,,
10,1/13/2022,4," $6,510,000.00 ",,,,,,
11,1/15/2022,5," $1,116,000.00 ",,,,,,
12,1/19/2022,1," $4,650,000.00 ",,,,,,
13,1/20/2022,3," $6,510,000.00 ",,,,,,
14,1/21/2022,1," $9,300,000.00 ",,,,,,
15,1/21/2022,3," $2,790,000.00 ",,,,,,
16,1/21/2022,2," $1,116,000.00 ",,,,,,
17,1/23/2022,3," $2,790,000.00 ",,,,,,
18,1/24/2022,4," $9,300,000.00 ",,,,,,
19,1/27/2022,2," $1,116,000.00 ",,,,,,
20,2/1/2022,2," $9,300,000.00 ",,,,,,
21,2/5/2022,5," $6,510,000.00 ",,,,,,
22,2/5/2022,4," $6,510,000.00 ",,,,,,
23,2/6/2022,2," $4,650,000.00 ",,,,,,
24,2/6/2022,3," $2,790,000.00 ",,,,,,
25,2/7/2022,4," $6,510,000.00 ",,,,,,
26,2/8/2022,3," $6,510,000.00 ",,,,,,
27,2/9/2022,3," $4,650,000.00 ",,,,,,
28,2/11/2022,4," $1,116,000.00 ",,,,,,
29,2/11/2022,5," $1,860,000.00 ",,,,,,
30,2/12/2022,1," $2,790,000.00 ",,,,,,
31,2/13/2022,2," $4,650,000.00 ",,,,,,
32,2/16/2022,5," $9,300,000.00 ",,,,,,
33,2/17/2022,3," $2,790,000.00 ",,,,,,
34,2/18/2022,2," $6,510,000.00 ",,,,,,
35,2/21/2022,5," $2,790,000.00 ",,,,,,
36,2/25/2022,4," $4,650,000.00 ",,,,,,
37,2/25/2022,2," $4,650,000.00 ",,,,,,
38,2/26/2022,1," $4,650,000.00 ",,,,,,
39,2/26/2022,5," $1,860,000.00 ",,,,,,
40,2/28/2022,1," $1,860,000.00 ",,,,,,
41,2/28/2022,5," $4,650,000.00 ",,,,,,
42,3/7/2022,1," $6,510,000.00 ",,,,,,
43,3/7/2022,5," $11,000,000.00 ",,,,,,
44,3/7/2022,3," $7,700,000.00 ",,,,,,
45,3/8/2022,3," $1,320,000.00 ",,,,,,
46,3/9/2022,5," $7,700,000.00 ",,,,,,
47,3/10/2022,3," $2,200,000.00 ",,,,,,
48,3/12/2022,4," $11,000,000.00 ",,,,,,
49,3/13/2022,1," $2,200,000.00 ",,,,,,
50,3/14/2022,4," $1,320,000.00 ",,,,,,
