OrderID,ProductID,Quantity
1,1,229
2,4,49
3,1,82
4,4,82
5,5,11
6,1,214
7,2,210
8,2,114
9,2,226
10,2,39
11,6,65
12,1,171
13,2,193
14,3,78
15,5,48
16,6,129
17,5,199
18,3,183
19,6,235
20,3,147
21,2,74
22,2,141
23,1,132
24,5,122
25,2,239
26,2,171
27,1,179
28,6,168
29,4,80
30,5,152
31,1,151
32,3,128
33,5,202
34,2,196
35,5,113
36,1,116
37,1,136
38,1,137
39,4,14
40,4,13
41,1,48
42,2,123
43,3,125
44,2,155
45,6,144
46,2,177
47,4,132
48,3,131
49,4,147
50,6,30
2,6,128
20,1,244
27,6,66
31,3,229
47,6,45
5,1,46
12,5,197
17,3,63
25,3,42
28,4,134
30,1,169
34,1,200
35,3,34
37,5,245
39,6,173
40,3,87
5,6,51
12,2,234
16,4,56
25,4,166
28,5,172
30,4,204
35,4,164
1,2,160
4,3,25
6,3,24
15,3,109
23,4,27
36,4,127
44,5,239
1,5,30
4,2,209
15,2,99
33,3,103
36,5,101
1,3,84
4,5,25
6,6,66
15,1,61
23,6,168
33,6,173
44,4,20
3,5,180
9,4,99
11,4,235
13,4,225
14,6,26
32,1,93
42,4,217
46,4,66
3,6,18
11,2,53
13,1,201
14,2,227
22,5,241
24,6,214
32,4,122
42,5,120
3,3,202
9,1,119
22,3,176
24,2,179
3,2,170
9,3,153
13,3,239
32,6,209
46,5,69
8,5,106
29,5,94
43,1,209
45,4,168
8,6,178
29,3,96
8,3,36
29,6,17
43,6,186
8,4,186
43,4,18
45,5,224
29,2,79
43,5,220
